key,locale,package,origin_text,text
activity::phrase.report_to_group_admins,en,metafox/activity,Report to group admins,Jelentés a csoportadminisztrátoroknak
activity::phrase.save_post,en,metafox/activity,Save,Mentés
activity::phrase.settings,en,metafox/activity,Settings,Beállítások
activity::phrase.share,en,metafox/activity,Share,Megosztás
activity::phrase.share_a_post_to_newsfeed,en,metafox/activity,shared a post to newsfeed,megosztotta a bejegyzést a hírfolyamon
activity::phrase.share_default_privacy,en,metafox/activity,Share default privacy,Alapértelmezett megosztási adatvédelem
activity::phrase.shared_successfully,en,metafox/activity,Shared successfully.,Sikeresen megosztva.
activity::phrase.shared_to_feed,en,metafox/activity,Shared to feed,Megosztva a hírfolyamban
activity::phrase.share_now,en,metafox/activity,Share now,Megosztás most
activity::phrase.share_on_friends,en,metafox/activity,Share on a friend's profile,Megosztás egy barát profilján
activity::phrase.share_on_group,en,metafox/activity,Share to a Group,Megosztás egy csoportba
activity::phrase.share_on_page,en,metafox/activity,Share to a Page,Megosztás egy oldalra
activity::phrase.share_to_news_feed,en,metafox/activity,Share to News Feed,Megosztás a hírfolyamra
activity::phrase.site_settings,en,metafox/activity,Activity Settings,Tevékenységbeállítások
activity::phrase.snooze_owner_full_name_for_30_days,en,metafox/activity,Snooze :owner_full_name For 30 Days,Némítás :owner_full_name 30 napra
activity::phrase.snooze_shared_owner_full_name_for_30_days,en,metafox/activity,Snooze :shared_owner_full_name For 30 Days,Némítás :shared_owner_full_name 30 napra
activity::phrase.snooze_shared_user_full_name_for_30_days,en,metafox/activity,Snooze :shared_user_full_name For 30 Days,Némítás :shared_user_full_name 30 napra
activity::phrase.snooze_user_full_name_for_30_days,en,metafox/activity,Snooze :user_full_name For 30 Days,Némítás :user_full_name 30 napra
activity::phrase.sponsor_feed,en,metafox/activity,Sponsor Feed,Hírfolyam támogatása
activity::phrase.sponsor_in_feed,en,metafox/activity,Sponsor In Feed,Támogatás a hírfolyamban
activity::phrase.sponsor_setting_feed,en,metafox/activity,Feed,Hírfolyam
activity::phrase.status,en,metafox/activity,Status,Állapot
activity::phrase.status_background,en,metafox/activity,Status Background,Állapot háttér
activity::phrase.successfully_posted_please_waiting_for_approve,en,metafox/activity,Successfully posted. Please wait for approval.,"Sikeresen közzétett. Kérjük, várjon a jóváhagyásra."
activity::phrase.tag_friends,en,metafox/activity,Tag Friends,Barátok megjelölése
activity::phrase.thanks_for_editting_your_post_for_approval,en,metafox/activity,Thanks for editting your post! Please wait for approval.,"Köszönjük, hogy szerkesztette a bejegyzését! Kérjük, várjon a jóváhagyásra."
activity::phrase.thanks_for_your_post_for_approval,en,metafox/activity,Thanks for your post! It's been submitted to admins for approval.,Köszönjük a bejegyzését! Elküldtük az adminisztrátorok jóváhagyására.
activity::phrase.this_user_has_been_blocked_and_the_post_has_been_declined,en,metafox/activity,This user has been blocked and the post has been declined.,"Ez a felhasználó blokkolva lett, és a bejegyzés elutasításra került."
activity::phrase.title,en,metafox/activity,Title,Cím
activity::phrase.types,en,metafox/activity,Types,Típusok
activity::phrase.unable_to_share_this_post_due_to_privacy_setting,en,metafox/activity,Unable to share this post due to privacy,Nem lehet megosztani ezt a bejegyzést az adatvédelem miatt
activity::phrase.unpin_post,en,metafox/activity,Unpin Post,Bejegyzés lefűzése
activity::phrase.unpin_post_on_homepage,en,metafox/activity,Unpin Post On Home Page,Bejegyzés lefűzése a kezdőlapon
activity::phrase.unsponsor_in_feed,en,metafox/activity,Unsponsor In Feed,Bejegyzés lefűzése a kezdőlapon
activity::phrase.updated_item,en,metafox/activity,Updated media attachments,Frissített média mellékletek
activity::phrase.user_post_approved,en,metafox/activity,:user's post has been approved.,:user bejegyzése jóvá lett hagyva.
activity::phrase.user_post_declined,en,metafox/activity,:user's post has been declined.,:user bejegyzése elutasításra került.
activity::phrase.user_privacy.who_can_post_on_your_profile,en,metafox/activity,Who can post on your profile?,Ki tud a profilodon posztolni?
activity::phrase.user_privacy.who_can_share_a_post,en,metafox/activity,Who can create posts?,Ki tud bejegyzést létrehozni?
activity::phrase.user_privacy.who_can_view_your_activities_section_on_your_profile_page,en,metafox/activity,Who can view the posts or activities on your profile?,Ki tudja megtekinteni a bejegyzéseket vagy tevékenységeket a profilodon?
activity::phrase.user_status,en,metafox/activity,User Status,Felhasználói állapot
activity::phrase.video,en,metafox/activity,Video,Videó
activity::phrase.view_edit_history,en,metafox/activity,View Edit History,Szerkesztési előzmények megtekintése
activity::phrase.your_post_has_been_submitted_to_group_admins_for_approval,en,metafox/activity,Your post has been submitted to group admins for approval.,A bejegyzését elküldtük a csoportadminisztrátorok jóváhagyására.
activitypoint::admin.amount,en,metafox/activity-point,Amount,Összeg
activitypoint::admin.are_you_sure_you_want_to_approve_this_request,en,metafox/activity-point,Are you sure you want to approve this request?,Biztosan jóváhagyja ezt a kérést?
activitypoint::admin.are_you_sure_you_want_to_deny_this_request,en,metafox/activity-point,Are you sure you want to deny this request?,Biztosan elutasítja ezt a kérést?
activitypoint::admin.conversion_fee_format_is_invalid,en,metafox/activity-point,Fee format is invalid.,A díj formátuma érvénytelen.
activitypoint::admin.conversion_request_fee_desc,en,metafox/activity-point,,
activitypoint::admin.conversion_request_fee_label,en,metafox/activity-point,How much is the fee (%) when converting points to cash within the E-Wallet Balance?,Mennyi a díj (%) a pontok átalakításakor készpénzre az E-Wallet egyenlegen belül?
activitypoint::admin.creator,en,metafox/activity-point,Creator,Létrehozó
activitypoint::admin.deny,en,metafox/activity-point,Deny,Elutasít
activitypoint::admin.deny_request,en,metafox/activity-point,Deny Request,Kérelem elutasítása
activitypoint::admin.max_conversion_rate_value,en,metafox/activity-point,Maximum Conversion Rate must be less than or equal to :number.,"A maximális átváltási aránynak kisebbnek vagy egyenlőnek kell lennie, mint :number."
activitypoint::admin.please_give_the_reason_why_you_deny_this_request,en,metafox/activity-point,Please give the reason why you deny this request:,"Kérem, adjon okot a kérelem elutasítására:"
activitypoint::admin.request_was_approved_successfully,en,metafox/activity-point,Request was approved successfully.,A kérelem sikeresen jóváhagyva.
activitypoint::admin.request_was_denied_successfully,en,metafox/activity-point,Request was denied successfully.,A kérelem sikeresen elutasítva.
activitypoint::admin.view_reason,en,metafox/activity-point,View Reason,Ok megtekintése
activitypoint::mail.points_added,en,metafox/activity-point,"An administrator gave you {points, plural, one {one activity point} other {# activity points} }.","An administrator gave you {points, plural, one {one activity point} other {# activity points} }."
activitypoint::mail.points_revoked,en,metafox/activity-point,"{points, plural, one {Your point has been revoked by an administrator.} other {Your points has been revoked by an administrator.}}","{points, plural, one {Your point has been revoked by an administrator.} other {Your points has been revoked by an administrator.}}"
activitypoint::mail.purchase_package_fail,en,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point} other {# activity points}} cannot be processed properly. Please try again later.","Your purchase of {amount, plural, one {# activity point} other {# activity points}} cannot be processed properly. Please try again later."
activitypoint::mail.purchase_package_success,en,metafox/activity-point,"Your purchase of {amount, plural, one {# activity point has} other {# activity points have}} been processed successfully.","Your purchase of {amount, plural, one {# activity point has} other {# activity points have}} been processed successfully."
activitypoint::mail.received_gifted_points,en,metafox/activity-point,"<b>{user}</b> gave you {points, plural, one {one activity point} other {# activity points} }.","<b>{user}</b> gave you {points, plural, one {one activity point} other {# activity points} }."
activitypoint::mail.received_gifted_points_subject,en,metafox/activity-point,"{user} gave you {points, plural, one {one activity point} other {# activity points} }.","{user} gave you {points, plural, one {one activity point} other {# activity points} }."
activitypoint::permission.can_auto_approved_activitypoint_conversion_request_desc,en,metafox/activity-point,,
activitypoint::permission.can_auto_approved_activitypoint_conversion_request_label,en,metafox/activity-point,Automatically approve conversion requests of users having this role?,"Automatikusan jóváhagyja az átváltási kéréseket olyan felhasználók esetében, akik rendelkeznek ezzel a szerepkörrel?"
activitypoint::permission.can_can_adjust_activity_points_activitypoint_desc,en,metafox/activity-point,"If enabled, this user group will be allowed to send or minus activity points for members, or multi members in the community.","Ha engedélyezve van, ez a felhasználói csoport lehetővé teszi a tagoknak vagy több tagoknak a tevékenységpontok küldését vagy levonását a közösségben."
activitypoint::permission.can_can_adjust_activity_points_activitypoint_label,en,metafox/activity-point,"Allow users of this group using the function ""Send/Minus Activity Points"" in AdminCP > Member Points?","Engedélyezze ennek a csoportnak a tagjait, hogy használják a ""Tevékenységpontok Küldése/Kivonása"" funkciót az AdminCP > Tagpontok menüpontban?"
activitypoint::permission.can_can_gift_activity_points_activitypoint_desc,en,metafox/activity-point,,
activitypoint::permission.can_can_gift_activity_points_activitypoint_label,en,metafox/activity-point,Can members of this user group gift activity points?,Engedélyezhetik-e ennek a felhasználói csoportnak a tagjai a tevékenységpontok ajándékozását?
activitypoint::permission.can_can_purchase_points_activitypoint_desc,en,metafox/activity-point,Enable this option if you would like users to buy point packages.,"Engedélyezze ezt az opciót, ha szeretné, hogy a felhasználók vásárolhassanak pontcsomagokat."
activitypoint::permission.can_can_purchase_points_activitypoint_label,en,metafox/activity-point,Allow member to purchase Activity Points?,"Engedélyezze a tagoknak, hogy vásároljanak Tevékenységpontokat?"
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_desc,en,metafox/activity-point,Enable this option if you would like to allow users to be able to purchase items by their activity points.,"Engedélyezze ezt az opciót, ha szeretné, hogy a felhasználók képesek legyenek tárgyakat vásárolni tevékenységpontjaikkal."
activitypoint::permission.can_can_purchase_with_activity_points_activitypoint_label,en,metafox/activity-point,Allow to use Activity Points for exchanging items?,Engedélyezze az Tevékenységpontok használatát tárgyak cseréjére?
activitypoint::permission.can_create_activitypoint_conversion_request_desc,en,metafox/activity-point,,
activitypoint::permission.can_create_activitypoint_conversion_request_label,en,metafox/activity-point,Can members of this user group create a conversion request?,Létrehozhatnak-e átváltási kérelmet ennek a felhasználói csoportnak a tagjai?
activitypoint::permission.can_maximum_activity_points_admin_can_adjust_activitypoint_desc,en,metafox/activity-point,,
